Testname: FK OD600 after 18h
Date: 24.04.2026  Time: 09:11:53 (UTC+2)
ID1: 2026_04_24_FK_ACE-1_P1  ID2:   ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1

Chromatic: 1
Cycle: 1
Time [s]: 0
A01;  0.118
A02;  0.465
A03;  0.469
A04;  0.467
A05;  0.469
A06;  0.468
A07;  0.463
A08;  0.525
A09;  0.475
A10;  0.482
A11;  0.483
A12;  0.113
B01;  0.110
B02;  0.104
B03;  0.105
B04;  0.187
B05;  0.356
B06;  0.464
B07;  0.466
B08;  0.469
B09;  0.472
B10;  0.474
B11;  0.475
B12;  0.108
C01;  0.114
C02;  0.108
C03;  0.109
C04;  0.121
C05;  0.354
C06;  0.476
C07;  0.465
C08;  0.470
C09;  0.473
C10;  0.483
C11;  0.498
C12;  0.114
D01;  0.104
D02;  0.100
D03;  0.101
D04;  0.143
D05;  0.352
D06;  0.510
D07;  0.466
D08;  0.473
D09;  0.477
D10;  0.477
D11;  0.503
D12;  0.111
E01;  0.112
E02;  0.103
E03;  0.171
E04;  0.284
E05;  0.205
E06;  0.485
E07;  0.466
E08;  0.467
E09;  0.469
E10;  0.468
E11;  0.492
E12;  0.101
F01;  0.104
F02;  0.099
F03;  0.238
F04;  0.293
F05;  0.202
F06;  0.483
F07;  0.456
F08;  0.464
F09;  0.465
F10;  0.467
F11;  0.492
F12;  0.097
G01;  0.100
G02;  0.099
G03;  0.217
G04;  0.193
G05;  0.213
G06;  0.474
G07;  0.472
G08;  0.462
G09;  0.465
G10;  0.470
G11;  0.495
G12;  0.101
H01;  0.115
H02;  0.382
H03;  0.425
H04;  0.437
H05;  0.448
H06;  0.449
H07;  0.455
H08;  0.455
H09;  0.462
H10;  0.475
H11;  0.475
H12;  0.098

